label,desc,thr,n,n_pos,pred_pos,tp,fp,fn,prevalence,alert_rate,ppv,ppv_lo,ppv_hi,recall,rec_lo,rec_hi,f1,baseline_ppv,baseline_recall,baseline_f1,op
R4182,,,7211,277.0,466.0,37,429,237,0.0383914810144318,0.06462349188739426,0.07939914163090128,0.058150857392243946,0.10752515386499333,0.13357400722021662,0.09848439690490421,0.17868785233338488,0.09959623149394348,0.0383914810144318,0.06462349188739426,0.048167591409174766,ppv30
R0600,,,7211,209.0,1303.0,104,1199,103,0.0290037831021437,0.18069615864651228,0.07981580966999233,0.06630584792854015,0.09579603320695874,0.49760765550239233,0.4304793253018003,0.5648223419319203,0.1375661375661376,0.0290037831021437,0.18069615864651228,0.049984488780217606,ppv30
N390,,,7211,216.0,306.0,24,282,190,0.0299845873616365,0.04243516849258078,0.0784313725490196,0.053269646202551264,0.11404643544130286,0.1111111111111111,0.07581155896847121,0.16000137230841216,0.09195402298850575,0.0299845873616365,0.04243516849258078,0.03513961078335936,ppv30
Z794,,,7211,170.0,1513.0,78,1435,90,0.0235393022278268,0.20981833310220496,0.051553205551883675,0.04150323213302922,0.06387459617670514,0.4588235294117647,0.38565419429890624,0.5338126573084535,0.09269162210338681,0.0235393022278268,0.20981833310220496,0.04232968121095819,ppv30
R002,,,7211,153.0,494.0,28,466,123,0.0211573490262014,0.06850644848148661,0.05668016194331984,0.03950312266118747,0.08069871621830012,0.1830065359477124,0.12975990025435982,0.2517811748583544,0.0865533230293663,0.0211573490262014,0.06850644848148661,0.03232999005967867,ppv30
I2510,,,7211,151.0,722.0,34,688,115,0.0208771192377749,0.10012480931909583,0.04709141274238227,0.03389234998053864,0.06508444164199838,0.2251655629139073,0.1658415443311959,0.2981263061905839,0.07789232531500573,0.0208771192377749,0.10012480931909583,0.034550153171018144,ppv30
R51,,,7211,168.0,707.0,44,663,122,0.0232590724394003,0.09804465400083207,0.06223479490806223,0.04668436283880703,0.08251668147431124,0.2619047619047619,0.20127485645342014,0.3331797475227076,0.10057142857142858,0.0232590724394003,0.09804465400083207,0.03759864229438792,ppv30
Z7901,,,7211,165.0,409.0,38,371,125,0.0228387277567605,0.056718901677991956,0.09290953545232274,0.06843897866594002,0.12495598473905796,0.23030303030303031,0.17263687675312755,0.30024140431813456,0.13240418118466898,0.0228387277567605,0.056718901677991956,0.032564759993220005,ppv30
R109,,,7211,157.0,2368.0,110,2258,45,0.0217178086030545,0.3283871862432395,0.0464527027027027,0.038685508865947446,0.0556890362741778,0.7006369426751592,0.6249055806334534,0.7667844752882125,0.08712871287128712,0.0217178086030545,0.3283871862432395,0.04074120714363056,ppv30
R0602,,,7211,156.0,2107.0,51,2056,103,0.0215776937088412,0.29219248370545003,0.02420503084954912,0.01845778120261647,0.031684051277700014,0.3269230769230769,0.25824298183863637,0.40392226365893025,0.04507291206363235,0.0215776937088412,0.29219248370545003,0.04018763012711104,ppv30
